url,status,rows_extracted
https://www.handybulk.com/baltic-dry-index/2020/january/,404,0
https://www.handybulk.com/baltic-dry-index/2020/february/,404,0
https://www.handybulk.com/baltic-dry-index/2020/march/,404,0
https://www.handybulk.com/baltic-dry-index/2020/april/,http ok,1
https://www.handybulk.com/baltic-dry-index/2020/may/,404,0
https://www.handybulk.com/baltic-dry-index/2020/june/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2020/july/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2020/august/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2020/september/,404,0
https://www.handybulk.com/baltic-dry-index/2020/october/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2020/november/,404,0
https://www.handybulk.com/baltic-dry-index/2020/december/,404,0
https://www.handybulk.com/baltic-dry-index/2021/january/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2021/february/,404,0
https://www.handybulk.com/baltic-dry-index/2021/march/,404,0
https://www.handybulk.com/baltic-dry-index/2021/april/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2021/may/,404,0
https://www.handybulk.com/baltic-dry-index/2021/june/,404,0
https://www.handybulk.com/baltic-dry-index/2021/july/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2021/august/,404,0
https://www.handybulk.com/baltic-dry-index/2021/september/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2021/october/,404,0
https://www.handybulk.com/baltic-dry-index/2021/november/,404,0
https://www.handybulk.com/baltic-dry-index/2021/december/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2022/january/,404,0
https://www.handybulk.com/baltic-dry-index/2022/february/,404,0
https://www.handybulk.com/baltic-dry-index/2022/march/,404,0
https://www.handybulk.com/baltic-dry-index/2022/april/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2022/may/,404,0
https://www.handybulk.com/baltic-dry-index/2022/june/,http ok,1
https://www.handybulk.com/baltic-dry-index/2022/july/,404,0
https://www.handybulk.com/baltic-dry-index/2022/august/,http ok,2
https://www.handybulk.com/baltic-dry-index/2022/september/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2022/october/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2022/november/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2022/december/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/january/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/february/,404,0
https://www.handybulk.com/baltic-dry-index/2023/march/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/april/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/may/,404,0
https://www.handybulk.com/baltic-dry-index/2023/june/,http ok,1
https://www.handybulk.com/baltic-dry-index/2023/july/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/august/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/september/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/october/,http ok,1
https://www.handybulk.com/baltic-dry-index/2023/november/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2023/december/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2024/january/,404,0
https://www.handybulk.com/baltic-dry-index/2024/february/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2024/march/,http ok,1
https://www.handybulk.com/baltic-dry-index/2024/april/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2024/may/,404,0
https://www.handybulk.com/baltic-dry-index/2024/june/,404,0
https://www.handybulk.com/baltic-dry-index/2024/july/,404,0
https://www.handybulk.com/baltic-dry-index/2024/august/,404,0
https://www.handybulk.com/baltic-dry-index/2024/september/,http ok,1
https://www.handybulk.com/baltic-dry-index/2024/october/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2024/november/,404,0
https://www.handybulk.com/baltic-dry-index/2024/december/,http ok,4
https://www.handybulk.com/baltic-dry-index/2025/january/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2025/february/,http ok,3
https://www.handybulk.com/baltic-dry-index/2025/march/,http ok,4
https://www.handybulk.com/baltic-dry-index/2025/april/,http ok,16
https://www.handybulk.com/baltic-dry-index/2025/may/,http ok,14
https://www.handybulk.com/baltic-dry-index/2025/june/,http ok,15
https://www.handybulk.com/baltic-dry-index/2025/july/,http ok,20
https://www.handybulk.com/baltic-dry-index/2025/august/,parse_zero_rows,0
https://www.handybulk.com/baltic-dry-index/2025/september/,http ok,12
https://www.handybulk.com/baltic-dry-index/2025/october/,http ok,19
https://www.handybulk.com/baltic-dry-index/2025/november/,http ok,21
https://www.handybulk.com/baltic-dry-index/2025/december/,http ok,17
https://www.handybulk.com/baltic-dry-index/2026/january/,http ok,21
https://www.handybulk.com/baltic-dry-index/2026/february/,http ok,20
https://www.handybulk.com/baltic-dry-index/2026/march/,http ok,22
https://www.handybulk.com/baltic-dry-index/2026/april/,http ok,20
https://www.handybulk.com/baltic-dry-index/2026/may/,http ok,19
https://www.handybulk.com/baltic-dry-index/2026/june/,http ok,22
https://www.handybulk.com/baltic-dry-index/2026/july/,http ok,23
https://www.handybulk.com/baltic-dry-index/2026/august/,404,0
https://www.handybulk.com/baltic-dry-index/2026/september/,404,0
https://www.handybulk.com/baltic-dry-index/2026/october/,404,0
https://www.handybulk.com/baltic-dry-index/2026/november/,404,0
https://www.handybulk.com/baltic-dry-index/2026/december/,404,0
https://www.handybulk.com/baltic-dry-index/,http ok,14
